ID_פריט,name,pgrp
5,"שום יבש - חו""ל",1
6,עגבניות,1
7,עגבניות שרי צהובות,14
9,חצילים,14
10,קישואים (ירוק),1
11,בטטות,1
12,דלורית,14
14,סלק,14
16,פלפל אדום,1
17,אבטיח גדול,1
20,אשכול בננות {אשכול קטן מהרגיל},1
23,תפוח עץ גראנד (חמצמץ),1
24,אגס נאשי (עגול),1
28,אבוקדו,1
29,רימון סלסלה,1
31,ענבים שחורים זן סייבל - ענבי טלי,1
32,ענבים ירוקים,15
34,שזיף אדום,15
36,נקטרינה,15
38,משמש,15
47,שורש סלרי (עגול),1
48,שורש פטרוזיליה (ארוך),1
52,מארז צמד סלסלאות פטריות טריות לבן/חום,1
53,עלי סלק {לנדא},15
58,לימון (אריזה צהובה),14
60,מנגו,15
61,קלמנטינה,1
65,שקית ואוו קוביות נוגט בציפוי שוקולד חלב,8
67,אננס חתוך,2
68,חיוב וועד בית,0
72,חצאי אפרסק {שימורים},2
73,טחינה 0.5 קילו - אחווה,2
78,אגוזי מלך קלופים,2
82,שקדים טבעי,2
85,אבקת שוקו - קדמה,2
86,סוכר חום דמררה,2
89,גרעיני חמניות קלוף,2
91,קמח מצה,2
92,פירורי לחם מוזהבים,2
95,דבש טבעי - לראש השנה,2
96,שמן זית למאור,2
99,שמן קנולה,2
100,פטריות חתוכות שימורים - קייטי,2
102,שמרים יבשי-ם - פאקא,2
105,"קרטון סטייק טונה חומה בד""ץ העד""ח - קייטי {צהובת סנ",10
113,"כף ח""פ עבה 100 יח' - קייטי (לבן)",2
115,"מזלג ח""פ עבה 100 יח' - קייטי (לבן)",2
116,"סכין ח""פ עבה 100 יח' קייטי (לבן)",2
119,צלחות קטנות 50 יח',2
120,צלחות גדולות 40 יח',2
121,מרקיות 25 יח,2
122,לפתניות 25 יח,2
124,מפות שולחן שמניה,2
125,שקיות אשפה 75/90 (אפור/שחור),2
127,"נייר כסף עבה 200 פיט (רוחב 30 ס""מ)",2
129,תבנית גדולה 10 יח r31,2
131,מגבונים 72 יח - קייטי,2
141,"קרטון חזה עוף קפוא בד""צ בית חלקיה",10
145,"נקנקיות עוף עד""ח - גלאט עוף",11
147,"רולדת וויט פיש אושן גורמה קפוא - העד""ח",11
158,נקנקיות סויה זוגלובק {מ. לאחר הפסח},11
160,ביצים (לבנות) גודל M,1
164,ציפס קפוא - קייטי,11
173,גרעיני תירס מוקפאים - קייטי,11
177,פלפלונים בייבי,1
178,"כבד צלוי קפוא - בד""צ בית חלקיה {משקל חדש}",10
187,תרומה למשפחות תושבי השכונה,0
198,חיוב עבור החזקת התחנה ג,0
202,גרגירי אפונה קפואה - קייטי,10
204,צנונית,1
205,קוסקוס,2
207,שעועית ירוקה חתוכה קפואה קייטי (מ.מ.),11
209,כדורי פלאפל מוכנים קפואים,11
211,קולרבי,14
221,מארז דרג'ה (עדשים צבעוניות),8
227,כוסות (8B) נייר איכותיות 50 יח',2
230,נר חימום 50 יח - איכותי,27
231,בצל,14
233,אבטיח,1
234,לחם פרוס - ברמן,9
238,"לחמניות מחמצת עגולות קלות מקמח כוסמין 100% ",1
248,מפות שולחן 14 יח {אריזה מוגדלת} - (תואם שמינייה),2
252,חטיפי תירס קפוא (בצורות שונות) - זוגלובק,10
285,"מגבת רחצה איכותית 70*130 ס""מ",21
290,"יין יבש קברנה סובניון מסדרת אמפרייל ",3
291,שישית מחיות לתינוק - פריטוב,2
294,פודינג וניל 800 גרם - מיה,2
295,מגב פטנט איכותי,21
298,מטליות מקרופייבר למטבח עשירייה {מארז מוגדל},2
300,מסיר שומנים - סנט מוריץ,2
305,כפפות נטריל m - ללא אבקה,2
306,מטאטא דמוי עץ,21
308,מפות 45 מטר עבה מאוד,2
309,מארז 12 גביעי אחסון חצי ליטר באריזת חיסכון,2
310,מארז 8 גביעי אחסון 1 ליטר (אריזת חיסכון),2
311,"מארז 18 גביעי אחסון 250 מ""ל באריזת חיסכון",2
312,מיכל שטוח 1 קילו שמינייה (מיכלי אחסון),2
313,מיכל מלבני 2 קילו- שביעייה (מיכלי אחסון),2
317,מזלג שקוף 50 יח',2
318,כפית שקופה 50 יח',2
319,סכין שקופה 50 יח',2
