ID_מכירה,week,name
114443,"קרח תשפ""ג",נחל שורק בית שמש
140769,"תרומה תשפ""ה","מהרי""ל מודיעין עילית"
141027,"תצווה תשפ""ה",בני הישיבות בני ברק
141088,"תצווה תשפ""ה",ירוחם
141115,"תצווה תשפ""ה",אהל איתן נווה יעקב ירו
141316,"כי תשא תשפ""ה",מרומי שדה מודיעין עילי
141408,"כי תשא תשפ""ה",רמת שלמה - ירושליים
141419,"כי תשא תשפ""ה",ירוחם
141420,"כי תשא תשפ""ה",הר יונה נוף הגליל
141481,"כי תשא תשפ""ה",מעלה הזיתים ירושליים
141497,"כי תשא תשפ""ה",נוה צבי ירושליים
141644,"ויקהל תשפ""ה",רבי עקיבא מודיעין עילי
142010,"פקודי תשפ""ה",גרין פארק מודיעין עילי
142084,"פקודי תשפ""ה",נתיבות שלום מודיעין עי
142086,"פקודי תשפ""ה",משכנות יעקב ירושליים
142217,"פקודי תשפ""ה",ירמיהו בית שמש
142309,"פסח מכירה 1 ויקרא תשפ""",מרומי שדה מודיעין עילי
142413,"פסח מכירה 1 ויקרא תשפ""",הר יונה נוף הגליל
142474,"פסח מכירה 1 ויקרא תשפ""",מעלה הזיתים ירושליים
142495,"פסח מכירה 1 ויקרא תשפ""",שבטי ישראל אחיסמך
142536,"פסח מכירה 1 ויקרא תשפ""",משה רבנו אחיסמך
142586,"פסח מכירה 1 ויקרא תשפ""",בן צבי טבריה
142640,"פסח מכירה 2 צו תשפ""ה",מרומי שדה מודיעין עילי
142735,"פסח מכירה 2 צו תשפ""ה",רמת אהרן בני ברק
142740,"פסח מכירה 2 צו תשפ""ה","חדרה "
142769,"פסח מכירה 2 צו תשפ""ה",זכרון אברהם ירושליים
142778,"פסח מכירה 2 צו תשפ""ה",חטיבת הנגב אשדוד
142831,"פסח מכירה 2 צו תשפ""ה",שבט אפרים אחיסמך
142844,"פסח מכירה 2 צו תשפ""ה",רפפורט ירושליים
142860,"פסח מכירה 2 צו תשפ""ה",רבי טרפון מודיעין עילי
142925,"פסח מכירה 2 צו תשפ""ה",כנסת יחזקאל ביתר עילית
146389,"חקת תשפ""ה",החלוצים בני ברק
146441,"חקת תשפ""ה",אמרי בינה ירושליים
146666,"בלק תשפ""ה",בני הישיבות בני ברק
146672,"בלק תשפ""ה",בית וגן ירושליים
146717,"בלק תשפ""ה",הרב קוק - רכסים
146732,"בלק תשפ""ה",משכנות יעקב ירושליים
146739,"בלק תשפ""ה",תל ציון (אהבת ישראל תח
146743,"בלק תשפ""ה",החצב רכסים
146781,"בלק תשפ""ה",מישאל מזרחי פסגת זאב
146786,"בלק תשפ""ה",אמרי בינה ירושליים
146789,"בלק תשפ""ה",מעלה הזיתים ירושליים
146797,"בלק תשפ""ה",מצפה רמון
146800,"בלק תשפ""ה",כרם אברהם ירושליים
146810,"בלק תשפ""ה",שבטי ישראל אחיסמך
146823,"בלק תשפ""ה",שדרות
146854,"בלק תשפ""ה",בני דוד עלי
146862,"בלק תשפ""ה",שערי תשובה מודיעין עיל
146889,"בלק תשפ""ה",עליית הנוער עפולה
146898,"בלק תשפ""ה",אהבת ישראל תל ציון (על
146941,"בלק תשפ""ה",אוהב ישראל ביתר עילית
147001,"פנחס תשפ""ה",גרין פארק מודיעין עילי
147022,"פנחס תשפ""ה",קרית צאנז נתניה
147026,"פנחס תשפ""ה","הרב בנדר ביתר עילית "
147029,"פנחס תשפ""ה",הפסגה ירושליים
147030,"פנחס תשפ""ה",בר אילן בית שמש
147034,"פנחס תשפ""ה",דרך החיים- אלעד
147045,"פנחס תשפ""ה",גבעה A ביתר
147055,"פנחס תשפ""ה",רבי יהשוע בית שמש
147056,"פנחס תשפ""ה",שמואל הנביא ירושליים
147064,"פנחס תשפ""ה",רמת אהרן בני ברק
147073,"פנחס תשפ""ה",הר יונה נוף הגליל
147106,"פנחס תשפ""ה",יבניאל
147108,"פנחס תשפ""ה",ברכת משה חיפה
147112,"פנחס תשפ""ה",נג'ארה ירושליים
147117,"פנחס תשפ""ה",גילה ירושליים
147131,"פנחס תשפ""ה",אמרי בינה ירושליים
147135,"פנחס תשפ""ה",דובר שלום נוף הגליל
147136,"פנחס תשפ""ה",בתי הורנשטיין ירושליים
147140,"פנחס תשפ""ה",עמנואל
147142,"פנחס תשפ""ה",מצפה רמון
147145,"פנחס תשפ""ה",כרם אברהם ירושליים
147156,"פנחס תשפ""ה",מעלות חברון קרית ארבע
147187,"פנחס תשפ""ה",יעבץ בני ברק
147207,"פנחס תשפ""ה",שערי תשובה מודיעין עיל
147208,"פנחס תשפ""ה",ירמיהו בית שמש
147215,"פנחס תשפ""ה",נרקיסים - נוף הגליל
147234,"פנחס תשפ""ה",עליית הנוער עפולה
147243,"פנחס תשפ""ה",אהבת ישראל תל ציון (על
147259,"פנחס תשפ""ה",אור הגנוז
147273,"פנחס תשפ""ה",רב חנינא בית שמש
147314,"מטות מסעי תשפ""ה",קנה בושם בית שמש
147315,"מטות מסעי תשפ""ה",מרומי שדה מודיעין עילי
147317,"מטות מסעי תשפ""ה",נהר הירדן בית שמש
147321,"מטות מסעי תשפ""ה",מסילת יוסף מודיעין עיל
147324,"מטות מסעי תשפ""ה",שטרן ירושליים
147334,"מטות מסעי תשפ""ה",אביי ורבא מודיעין עילי
147345,"מטות מסעי תשפ""ה",קרלין מודיעין עילית
147347,"מטות מסעי תשפ""ה",גרין פארק מודיעין עילי
147349,"מטות מסעי תשפ""ה",סנהדריה המורחבת ירושלי
147352,"מטות מסעי תשפ""ה",חפץ חיים זכרון יעקב
147356,"מטות מסעי תשפ""ה",טלזסטון
147362,"מטות מסעי תשפ""ה",ינאי אשדוד
147363,"מטות מסעי תשפ""ה",בית וגן ירושליים
147365,"מטות מסעי תשפ""ה",רוממה ירושליים
147366,"מטות מסעי תשפ""ה",חזון דוד מודיעין עילית
147368,"מטות מסעי תשפ""ה",קרית צאנז נתניה
147375,"מטות מסעי תשפ""ה",הפסגה ירושליים
147388,"מטות מסעי תשפ""ה",בן זכאי בני ברק
147407,"מטות מסעי תשפ""ה",רמת שלמה - ירושליים
147419,"מטות מסעי תשפ""ה",הר יונה נוף הגליל
147431,"מטות מסעי תשפ""ה","מהרי""ל מודיעין עילית"
147434,"מטות מסעי תשפ""ה",החצב רכסים
147440,"מטות מסעי תשפ""ה",מיימון בני ברק
147442,"מטות מסעי תשפ""ה",שאגת אריה מודיעין עילי
147450,"מטות מסעי תשפ""ה",נחלת שלמה נתיבות
147459,"מטות מסעי תשפ""ה",דובדבן אופקים
147463,"מטות מסעי תשפ""ה",גילה ירושליים
147465,"מטות מסעי תשפ""ה",רבנו בחיי בני ברק
147469,"מטות מסעי תשפ""ה",הרב חיות נווה יעקב ירו
147478,"מטות מסעי תשפ""ה","רלב""ג בני ברק"
147481,"מטות מסעי תשפ""ה",דובר שלום נוף הגליל
147482,"מטות מסעי תשפ""ה",בתי הורנשטיין ירושליים
147485,"מטות מסעי תשפ""ה",הבוכרים ירושליים
147486,"מטות מסעי תשפ""ה",עמנואל
147488,"מטות מסעי תשפ""ה",מצפה רמון
147496,"מטות מסעי תשפ""ה",נוה צבי ירושליים
147504,"מטות מסעי תשפ""ה",שערי חסד ירושליים
147507,"מטות מסעי תשפ""ה",איילת השחר בני ברק
147535,"מטות מסעי תשפ""ה",אורליאן בני ברק
147561,"מטות מסעי תשפ""ה",נרקיסים - נוף הגליל
147580,"מטות מסעי תשפ""ה",עליית הנוער עפולה
147589,"מטות מסעי תשפ""ה",אהבת ישראל תל ציון (על
147597,"מטות מסעי תשפ""ה",רבנו אשר בני ברק
147617,"מטות מסעי תשפ""ה",הפלמח ירוחם
147621,"מטות מסעי תשפ""ה",מבוא מרגלית ביתר עילית
147625,"מטות מסעי תשפ""ה",נלסון גליק ירושליים
147657,"דברים תשפ""ה",אבני נזר מודיעין עילית
147658,"דברים תשפ""ה",יהודה הנשיא מודיעין עי
147659,"דברים תשפ""ה",רבי עקיבא מודיעין עילי
147662,"דברים תשפ""ה",מרומי שדה מודיעין עילי
147663,"דברים תשפ""ה",נאות הפיסגה מודיעין עי
147664,"דברים תשפ""ה",נהר הירדן בית שמש
147665,"דברים תשפ""ה",כולל ברסלב בני ברק
147672,"דברים תשפ""ה",זנגוויל ירושליים
147675,"דברים תשפ""ה",גור חיפה
147678,"דברים תשפ""ה",אולסוונגר ירושליים
147684,"דברים תשפ""ה",נפש החיים אשדוד
147685,"דברים תשפ""ה",בית שמואל אשדוד
147689,"דברים תשפ""ה",הרים לוין אשדוד
147690,"דברים תשפ""ה",החרובים רכסים
147692,"דברים תשפ""ה",קרלין מודיעין עילית
147694,"דברים תשפ""ה",גרין פארק מודיעין עילי
147696,"דברים תשפ""ה",סנהדריה המורחבת ירושלי
147703,"דברים תשפ""ה",טלזסטון
147710,"דברים תשפ""ה",בית וגן ירושליים
147713,"דברים תשפ""ה",חזון דוד מודיעין עילית
147716,"דברים תשפ""ה",לב שמחה בית שמש
147722,"דברים תשפ""ה",הפסגה ירושליים
147728,"דברים תשפ""ה",גני יצהר- אלעד
147732,"דברים תשפ""ה",מבוא די זהב ירושליים
147733,"דברים תשפ""ה",פרל בני ברק
147735,"דברים תשפ""ה",בן זכאי בני ברק
147740,"דברים תשפ""ה",עפולה גבעת המורה
147741,"דברים תשפ""ה",נווה יעקב-ירושלים
147744,"דברים תשפ""ה",שיכון ו בני ברק
147751,"דברים תשפ""ה",שער המלך מודיעין עילית
147752,"דברים תשפ""ה",גבעת שאול - ירושליים
147754,"דברים תשפ""ה",רמת שלמה - ירושליים
147765,"דברים תשפ""ה",ירוחם
147766,"דברים תשפ""ה",הר יונה נוף הגליל
147767,"דברים תשפ""ה",טבנקין נווה יעקב ירושל
147770,"דברים תשפ""ה",משכנות יעקב ירושליים
147771,"דברים תשפ""ה",הרב הירש בני ברק
147772,"דברים תשפ""ה",החלוצים בני ברק
147781,"דברים תשפ""ה",החצב רכסים
147786,"דברים תשפ""ה",מינץ ירושליים
147791,"דברים תשפ""ה",זכרון אברהם ירושליים
147793,"דברים תשפ""ה",חיל האוויר פסגת זאב
147795,"דברים תשפ""ה",גולאק נווה יעקב ירושלי
147805,"דברים תשפ""ה",נג'ארה ירושליים
147814,"דברים תשפ""ה",גבעת זאב
147816,"דברים תשפ""ה",הרב חיות נווה יעקב ירו
147827,"דברים תשפ""ה",מעלה הזיתים ירושליים
147828,"דברים תשפ""ה",דובר שלום נוף הגליל
147833,"דברים תשפ""ה",עמנואל
147834,"דברים תשפ""ה",דימונה
147840,"דברים תשפ""ה",גשר החיים ירושליים
147843,"דברים תשפ""ה",נוה צבי ירושליים
147846,"דברים תשפ""ה",שפינוזה עפולה
147851,"דברים תשפ""ה",שערי חסד ירושליים
147852,"דברים תשפ""ה",נווה אברהם חיפה
147862,"דברים תשפ""ה",עטרת משה בני ברק
147877,"דברים תשפ""ה",תכלת מרדכי בית שמש
147882,"דברים תשפ""ה",אורליאן בני ברק
147887,"דברים תשפ""ה",ריש לקיש בית שמש
147888,"דברים תשפ""ה",משה רבנו אחיסמך
147896,"דברים תשפ""ה",אלחריזי בית ד' בני ברק
147899,"דברים תשפ""ה",רבבה
147900,"דברים תשפ""ה",שערי תשובה מודיעין עיל
147901,"דברים תשפ""ה",ירמיהו בית שמש
147906,"דברים תשפ""ה",נהרדעא בית שמש
147908,"דברים תשפ""ה",נרקיסים - נוף הגליל
147922,"דברים תשפ""ה",הגבעה הצרפתית ירושליים
147927,"דברים תשפ""ה",עליית הנוער עפולה
147929,"דברים תשפ""ה",הרב פניז'ל נווה יעקב י
147935,"דברים תשפ""ה",בן עוזיאל אלעד
147946,"דברים תשפ""ה",הוילה  בני ברק
147952,"דברים תשפ""ה",אור הגנוז
147954,"דברים תשפ""ה",ישמח ישראל ביתר עילית
147956,"דברים תשפ""ה",הספרייה ירושליים
147959,"דברים תשפ""ה",חלקיה בר טובי בית שמש
147964,"דברים תשפ""ה",הפלמח ירוחם
