TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME	DATA_TYPE	CHARACTER_MAXIMUM_LENGTH	IS_NULLABLE
dbo	AI_ForbiddenActions	RoleID	int	NULL	NO
dbo	AI_ForbiddenActions	ForbiddenPattern	nvarchar	500	NO
dbo	AI_ForbiddenActions	Description	nvarchar	500	YES
dbo	AI_Permissions_Columns	RoleID	int	NULL	NO
dbo	AI_Permissions_Columns	TableName	varchar	200	NO
dbo	AI_Permissions_Columns	ColumnName	varchar	200	NO
dbo	AI_Permissions_Columns	CanView	bit	NULL	YES
dbo	AI_Permissions_Columns	CanFilter	bit	NULL	YES
dbo	AI_Permissions_Tables	RoleID	int	NULL	NO
dbo	AI_Permissions_Tables	TableName	varchar	200	NO
dbo	AI_Permissions_Tables	CanSelect	bit	NULL	YES
dbo	AI_Permissions_Tables	CanAggregate	bit	NULL	YES
dbo	AI_Permissions_Tables	CanDetail	bit	NULL	YES
dbo	AI_Permissions_Values	RoleID	int	NULL	NO
dbo	AI_Permissions_Values	DimensionName	nvarchar	200	NO
dbo	AI_Permissions_Values	AllowedValue	nvarchar	200	NO
dbo	AI_Roles	RoleID	int	NULL	NO
dbo	AI_Roles	RoleName	nvarchar	100	NO
dbo	AI_Roles	Description	nvarchar	500	YES
dbo	AI_UserRoles	UserID	int	NULL	NO
dbo	AI_UserRoles	RoleID	int	NULL	NO
dbo	AI_Users	ID	int	NULL	NO
dbo	AI_Users	NickName	nvarchar	100	YES
dbo	AI_Users	FirstName	nvarchar	50	YES
dbo	AI_Users	LastName	nvarchar	50	YES
dbo	AI_Users	Email	nvarchar	200	YES
dbo	AI_Users	Phone	nvarchar	20	YES
dbo	AI_Users	PasswordHash	nvarchar	500	YES
dbo	AI_Users	IsAdmin	bit	NULL	NO
dbo	AI_Users	PermissionGroup	nchar	10	YES
dbo	AI_Users	SqlUserName	nchar	10	YES
dbo	MetaColumns	ColumnID	int	NULL	NO
dbo	MetaColumns	TableID	int	NULL	YES
dbo	MetaColumns	ColumnName	varchar	100	YES
dbo	MetaColumns	DataType	varchar	50	YES
dbo	MetaColumns	Description	nvarchar	500	YES
dbo	MetaColumns	Aliases	nvarchar	500	YES
dbo	MetaDefaults	DefaultID	int	NULL	NO
dbo	MetaDefaults	DefaultName	varchar	100	YES
dbo	MetaDefaults	DefaultValue	nvarchar	200	YES
dbo	MetaDefaults	DataType	varchar	50	YES
dbo	MetaDefaults	Description	nvarchar	500	YES
dbo	MetaExamples	ExampleID	int	NULL	NO
dbo	MetaExamples	UserQuestion	nvarchar	500	YES
dbo	MetaExamples	SQLExample	nvarchar	-1	YES
dbo	MetaExamples	Notes	nvarchar	500	YES
dbo	MetaFeedback	FeedbackID	int	NULL	NO
dbo	MetaFeedback	UserQuestion	nvarchar	-1	YES
dbo	MetaFeedback	GPT_SQL	nvarchar	-1	YES
dbo	MetaFeedback	GPTAnswer	nvarchar	-1	YES
dbo	MetaFeedback	FeedbackText	nvarchar	-1	YES
dbo	MetaFeedback	CorrectedSQL	nvarchar	-1	YES
dbo	MetaFeedback	CorrectedMeaning	nvarchar	-1	YES
dbo	MetaFeedback	Category	nvarchar	200	YES
dbo	MetaFeedback	CreatedAt	datetime	NULL	YES
dbo	MetaIndexes	IndexID	int	NULL	NO
dbo	MetaIndexes	TableName	varchar	100	YES
dbo	MetaIndexes	IndexName	varchar	200	YES
dbo	MetaIndexes	IsClustered	bit	NULL	YES
dbo	MetaIndexes	IsUnique	bit	NULL	YES
dbo	MetaIndexes	Columns	nvarchar	500	YES
dbo	MetaIndexes	Description	nvarchar	500	YES
dbo	MetaRelations	RelationID	int	NULL	NO
dbo	MetaRelations	FromTable	varchar	100	YES
dbo	MetaRelations	FromColumn	varchar	100	YES
dbo	MetaRelations	ToTable	varchar	100	YES
dbo	MetaRelations	ToColumn	varchar	100	YES
dbo	MetaRelations	Description	nvarchar	500	YES
dbo	MetaTables	TableID	int	NULL	NO
dbo	MetaTables	TableName	varchar	100	YES
dbo	MetaTables	LogicalName	nvarchar	200	YES
dbo	MetaTables	Description	nvarchar	500	YES
